"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D6.5","1.6X0.8X0.5","132.466mil","494.371mil","132.466mil","494.371mil","118.687mil","468.781mil","T","90.00","HSMF-C165"
"D5.5","1.6X0.8X0.5","-132.466mil","494.371mil","-132.466mil","494.371mil","-146.246mil","468.781mil","T","90.00","HSMF-C165"
"D4.5","1.6X0.8X0.5","-361.905mil","361.905mil","-361.905mil","361.905mil","-375.685mil","336.315mil","T","90.00","HSMF-C165"
"D3.5","1.6X0.8X0.5","-494.372mil","132.466mil","-494.371mil","132.466mil","-508.151mil","106.876mil","T","90.00","HSMF-C165"
"D2.5","1.6X0.8X0.5","-494.372mil","-132.466mil","-494.371mil","-132.466mil","-508.151mil","-158.057mil","T","90.00","HSMF-C165"
"D1.5","1.6X0.8X0.5","-361.905mil","-361.905mil","-361.905mil","-361.905mil","-375.685mil","-387.495mil","T","90.00","HSMF-C165"
"Cout.9","0805","-236.22mil","748.032mil","-236.22mil","748.032mil","-236.22mil","710.63mil","B","90.00","C0805"
"Cin.9","0805","-236.22mil","590.551mil","-236.22mil","590.551mil","-236.22mil","553.15mil","B","90.00","C0805"
"C4.7","0402","0mil","-649.606mil","0mil","-649.606mil","0mil","-624.016mil","B","270.00","C0402"
"C3.7","0603","-374.016mil","-196.85mil","-374.016mil","-196.85mil","-340.551mil","-196.85mil","B","180.00","C0603"
"C2.7","0402","-393.701mil","-255.905mil","-393.701mil","-255.905mil","-419.291mil","-255.905mil","B","360.00","C0402"
"C1.7","0402","-354.331mil","-748.032mil","-354.331mil","-748.032mil","-328.74mil","-748.032mil","B","180.00","C0402"

